m,sat_count,unsat_count,timeout_count,trials,fraction_sat
1.0,25,0,0,25,1.0
1.25,25,0,0,25,1.0
1.5,25,0,0,25,1.0
1.75,25,0,0,25,1.0
2.0,25,0,0,25,1.0
2.25,25,0,0,25,1.0
2.5,25,0,0,25,1.0
2.75,25,0,0,25,1.0
3.0,25,0,0,25,1.0
3.25,25,0,0,25,1.0
3.5,24,0,1,25,0.96
3.75,25,0,0,25,1.0
4.0,20,0,5,25,0.8
4.25,13,9,3,25,0.52
4.5,2,19,4,25,0.08
4.75,0,20,5,25,0.0
5.0,0,23,2,25,0.0
5.25,0,25,0,25,0.0
5.5,0,25,0,25,0.0
5.75,0,25,0,25,0.0
6.0,0,25,0,25,0.0
6.25,0,25,0,25,0.0
6.5,0,25,0,25,0.0
6.75,0,25,0,25,0.0
7.0,0,25,0,25,0.0
7.25,0,25,0,25,0.0
7.5,0,25,0,25,0.0
7.75,0,25,0,25,0.0
8.0,0,25,0,25,0.0
